sba_physical_declaration_number,sba_eidl_declaration_number,fema_disaster_number,sba_disaster_number,damaged_property_city_name,damaged_property_zip_code,damaged_property_county/parish_name,damaged_property_state_code,total_verified_loss,verified_loss_real_estate,verified_loss_content,total_approved_loan_amount,approved_amount_real_estate,approved_amount_content,year,incident_type
10682,10683,1665,NY-00036,LANCASTER,14086,ERIE,NY,422940,312870,110070,333800,229600,104200,2007,Severe Storm
10682,10683,1665,NY-00036,LOCKPORT,14094,NIAGARA,NY,117817,82562,35255,25100,19000,6100,2007,Severe Storm
10682,10683,1665,NY-00036,MEDINA,14103,ORLEANS,NY,8409,8409,0,7200,7200,0,2007,Severe Storm
10682,10683,1665,NY-00036,N TONAWANDA,14120,NIAGARA,NY,12144,8394,3750,10000,6200,3800,2007,Severe Storm
10682,10683,1665,NY-00036,NIAGARA FALLS,14304,NIAGARA,NY,17438,17438,0,0,0,0,2007,Severe Storm
10682,10683,1665,NY-00036,NORTH TONAWANDA,14120,NIAGARA,NY,288351,226291,62060,202600,150700,51900,2007,Severe Storm
10682,10683,1665,NY-00036,OAKFIELD,14125,GENESEE,NY,18526,12051,6475,4800,4800,0,2007,Severe Storm
10682,10683,1665,NY-00036,ORCHARD PARK,14127,ERIE,NY,223589,184609,38980,125500,96700,28800,2007,Severe Storm
10682,10683,1665,NY-00036,SLOAN,14212,ERIE,NY,32379,22239,10140,18100,10700,7400,2007,Severe Storm
10682,10683,1665,NY-00036,SNYDER,14226,ERIE,NY,138555,105567,32988,59900,51900,8000,2007,Severe Storm
10682,10683,1665,NY-00036,SOUTH CHEEKTOWAGA,14227,ERIE,NY,51458,39208,12250,41300,29000,12300,2007,Severe Storm
10682,10683,1665,NY-00036,TONAWANDA,14150,ERIE,NY,927695,648769,278926,540600,364300,176300,2007,Severe Storm
10682,10683,1665,NY-00036,TONAWANDA,14223,ERIE,NY,339656,217036,122620,152500,90600,61900,2007,Severe Storm
10682,10683,1665,NY-00036,TOWN OF TONAWANDA,14223,ERIE,NY,124097,82218,41879,81100,53400,27700,2007,Severe Storm
10682,10683,1665,NY-00036,WEST SENECA,14218,ERIE,NY,13602,10902,2700,10000,7300,2700,2007,Severe Storm
10682,10683,1665,NY-00036,WEST SENECA,14224,ERIE,NY,608501,440096,168405,458000,302000,156000,2007,Severe Storm
10682,10683,1665,NY-00036,WILLIAMSVILLE,14221,ERIE,NY,1576249,1178147,398102,1083700,794600,289100,2007,Severe Storm
10701,10702,1668,LA-00007,ANACOCO,71403,VERNON,LA,490806,367616,123190,211300,151600,59700,2007,Severe Storm
10701,10702,1668,LA-00007,ARNAUDVILLE,70512,SAINT LANDRY,LA,3375,0,3375,3400,0,3400,2007,Severe Storm
10701,10702,1668,LA-00007,BASTROP,71220,MOREHOUSE,LA,12745,12745,0,10000,10000,0,2007,Severe Storm
10701,10702,1668,LA-00007,CHURCH POINT,70525,SAINT LANDRY,LA,20714,19524,1190,19500,18300,1200,2007,Severe Storm
10701,10702,1668,LA-00007,CLARKS,71415,CALDWELL,LA,64313,52813,11500,40500,29000,11500,2007,Severe Storm
10701,10702,1668,LA-00007,CLOUTIERVILLE,71416,NATCHITOCHES,LA,21911,19466,2445,0,0,0,2007,Severe Storm
10701,10702,1668,LA-00007,COLFAX,71417,GRANT,LA,169031,110621,58410,38700,13300,25400,2007,Severe Storm
10701,10702,1668,LA-00007,COLLINSTON,71229,MOREHOUSE,LA,2691,2691,0,2700,2700,0,2007,Severe Storm
